,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
105,13,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995285358582857,0.9515011097698688,0.9428663723484441,2,3
106,14,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9997102459962381,0.9512480043612009,0.9432540109830947,0,1
107,15,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996316686392858,0.9512285347143803,0.9425002691934963,1,2
108,16,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9997249792506667,0.9503329309606324,0.9432540109830947,6,7
109,17,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9997004238266191,0.949262100385499,0.9412296758910305,1,2
110,18,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995923799608095,0.9478408161675947,0.9398298697103478,3,4
111,19,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999474513925381,0.9465363498306141,0.938559276407882,3,4
112,20,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9989834054444287,0.9416689381254624,0.933218477441585,1,2
113,21,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9944308298260003,0.9322261594174681,0.9230537310218585,0,1
114,22,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9518468134426213,0.9023013122541957,0.8970388715408636,0,1
115,0,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9945486958614288,0.9517152758848955,0.9440292882523958,4,5
116,1,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9976672347154762,0.9517736848253573,0.9438139334553677,6,7
117,2,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.998752584458381,0.952727697519567,0.9452137396360504,9,10
118,3,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9991798488368095,0.95282504575367,0.9436416496177452,14,15
119,4,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9992289596849048,0.9526887582259258,0.9448476364811026,13,14
120,5,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9992829816178096,0.9530002725750555,0.9457951975880263,0,1
121,6,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995530912823334,0.9525135314045403,0.9454506299127813,1,2
122,7,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994155809076667,0.9521241384681282,0.9440508237320986,3,4
123,8,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999567824536762,0.9523188349363343,0.9443092494885323,4,5
124,9,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9992584261937619,0.9515789883571512,0.9423495208355767,8,9
125,10,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999484336095,0.951890502706281,0.9439431463335846,10,11
126,11,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995530912823334,0.9517347455317161,0.9437708624959621,9,10
127,12,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995236247734762,0.9515205794166893,0.941961882200926,10,11
128,13,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995923799608095,0.95218254740859,0.9434478303004199,0,1
129,14,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996267575544762,0.9513258829484833,0.9423710563152794,8,9
130,15,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999587468876,0.9516763365912543,0.9423279853558738,6,7
131,16,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996267575544762,0.95089755071843,0.9430601916657694,6,7
132,17,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996955127418096,0.9498851290837584,0.9403251857435124,1,2
133,18,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995530912823334,0.9480939215762626,0.9406697534187574,3,4
134,19,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994352252469048,0.9454849889023013,0.9380639603747174,1,2
135,20,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9988851837482382,0.9419999221214127,0.9338860773123722,2,3
136,21,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9954425132967621,0.9360227405474865,0.9266070851728222,0,1
137,22,szegedai-semantics,winter-pyramid-254,92179pa3,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9512574832654785,0.9003543475721351,0.8956821363195865,0,1
138,0,szegedai-semantics,winter-oath-253,xc7t2dq4,distilbert-base-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9878941759445243,0.9491063432109341,0.9420480241197373,3,4
139,1,szegedai-semantics,winter-oath-253,xc7t2dq4,distilbert-base-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9951282038689526,0.9493594486196021,0.941057392053408,3,4
