,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
91,22,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9350281808370309,0.7765475265475265,0.7309897610921503,0,1
92,0,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9921605954062477,0.9399183567116862,0.9277389862862311,20,21
93,1,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9961323330299869,0.9401366010445963,0.9293629852996609,10,11
94,2,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9981996077419641,0.9404730902777778,0.9300212133003627,16,17
95,3,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9983771592797361,0.9401640767427729,0.9292581900338898,11,12
96,4,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9989653230660834,0.9405677466942911,0.9282595603733815,6,7
97,5,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9991816671243783,0.9404885880413086,0.9291063968586518,13,14
98,6,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9991012133619613,0.9410270328954511,0.9302354788069074,0,1
99,7,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9993508511063273,0.9408570621837058,0.9302413273001507,8,9
100,8,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9992204773120059,0.9407064851603377,0.929003893983168,1,2
101,9,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9993925087170837,0.9405254077281162,0.9269742535020503,0,1
102,10,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9993148233936492,0.9394182591154588,0.9272325797305097,10,11
103,11,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994036077569827,0.9400232308210033,0.9265198990292237,4,5
104,12,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999400795610273,0.9395057174474364,0.9277755470788999,10,11
105,13,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994396360408345,0.9396768869973073,0.9280584572117316,8,9
106,14,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995145348272715,0.9389398296348543,0.9254885226973231,6,7
107,15,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999367524022991,0.938338034280755,0.9250520820260536,2,3
108,16,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9996477046711031,0.9390898736236915,0.9250360705100056,6,7
109,17,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999614412645046,0.9374362535535253,0.9238662735996989,2,3
110,18,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995311845496181,0.9364223319407521,0.9226907630522088,4,5
111,19,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999339802162564,0.9334214689755314,0.9188248259279667,1,2
112,20,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9990984418300798,0.9281052836979381,0.9132543711223915,1,2
113,21,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9927234898397947,0.9167930660888407,0.9017968867310676,1,2
114,22,szegedai-semantics,dry-durian-166,vo8trkwl,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9374007642366085,0.8786712228037546,0.867799409438967,0,1
115,0,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9958924392224292,0.9592282144551637,0.9253959294797305,19,20
116,1,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9974286100960889,0.9599442702890979,0.9280127799780344,21,22
117,2,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9977071889180797,0.9599087972639179,0.9247740563530038,11,12
118,3,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9982087841226623,0.9601318374849465,0.9311778598276952,0,1
119,4,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9986065880516917,0.9578660584172846,0.9286309543651455,0,1
120,5,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9987659530425229,0.9582646200685019,0.9317068293170684,17,18
121,6,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989251677932501,0.9550170821207137,0.9267790075447868,12,13
122,7,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9985829153729799,0.9540654027229928,0.9280678894791353,0,1
123,8,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9992119152052603,0.9511709490850478,0.9238484274849723,10,11
